columns
2021F
AStym
OBS_DATE:
2022siz
lambda
Flux(10-15)
trace_spec
DICHROIC=
flux(flam)
AT2019igb
sn2016coj-20160614.198-ir.ms.fits
ATwzz
#wavelength
ASASSN-14lv
AT2020yzx
flux(mJy)
20xuq
WIWI
evv
AT2018jly
2012-12-09T00:00:00.000
AT2020zem
wave-obs
AT2019tyn
AT2019ubh
Ppdy
AT2019bgs
col11
wav
PTF13ast
ATLAS20bilw
2021K
ASASSN-14hr
vacuum_wave
2021ace
col10
ATLAS20bjgs
AT2018jag
ATLAS20bhnm
Rich/Wise/Hinds
ATLASgyw
erg/s/cm^2/AA)
ATLAS21gba
wl
2012-11-13T00:00:00.000
ASASSN-19bx
cli
col1
Popx
flux_tell_corrected
Gaia19akc
ZTF19hwxs
Gaia18dpp
AT2020wlw
ASASSN-20dl
ATLAS20bgfh
U
flux
ASASSN19nw
LAM
21fof
2020adlb
spec_optimal
Observed
AT2019fma
sky_flux
Flux
ATLAS21him
KCWI
AT2019bgn
cjq
ATLAS20bevw
ATLAS20ibn
20skx
2020adld
AT20aro
B.Martin
ASeqv
ZTF20abobpcb
AT2020zkt
Variance
col7
ATLAS19cau
AT2018jpx
AT2018jlv
AT2020abhx
dyt
SN2015F
sn2016coj-20160531.244-ir.ms.fits
ATLAS19dzh
tpk
2021yk
OBSDATE
ATLAS20bfya
ASASSN19lp
ASASSN-14me
ATLAS20idt
2024abkj
ASASSNhp
ASASSN19il
ZTF18aaqzhib
obswave
2021nyt
21fnt
fluxerr
Err
(A)	FluxDens(1d-15)
wl(A)
ypixel
AT2018joe
ATLASgqg
ATxct
ATLAS18wyv
ekb
AT2020soi
WL[\AA]
IDdxr
ATLAS20iel
air_wave
ZTF20xrko
col8
AT2020xda
ZTF19aaafgbt
Intensity
ERR
AT2020abvq
ZTF21aawtewf
Wavelength(AA)	f_lam(1e-16
Flux (erg/s/cm2/Å)
ASsam
cew
tls
ASASSN19ng
ivar
2025wa
Perr
wavelen
ATLAS18pqr
2020adqy
AT2019sqi
ASAShau
ATLAS20cnh
14:04:11.25
BRUTUS8556_1
ATLAS20fay
AT2020csk
Ppcn
AT2021mhv
AT2020zen
flux_cgs_AA
AT-kpv
Sky
2013-01-08T00:00:00.000
y
Theta
ZTFaacijie
2020aeps
AS-19aeb
ZTF21aaqldsj
OBSERVERS
DATE-OBS=
col5
Normalized_flux
sn2016coj-20160612.214-uv.ms.fits
Wavelength (Å)
wavelength(um)
AT-kah
dnu
ATLAS20icx
ATLAS19bdu
AT2020wlv
IO
ATLAS19sys
AT2020uek
AT2020tce
AT2020wie
ASASSN-19mb
AT2020vbs
ATLAS20gom
20zjx
ASASSN-19om
ASASSN-19bs
ASxit
yconc
ATLAS19esm
ATLAS19kdv
by
ATLAS18znm
ZTF18aacdbzx
2025ud
AT2020txx
Gaia18cxi
variance/error
ZTF19aaaajtq
AT2019agi
BGFLUX
cvo
ATLAS18vor
UH88
enu
ATLAS19kej
ATLAS20ibe
AT2020tgk
col2
AT-kcv
OBSERVER
eok
err
flux_unc
AT2020zko
SIMPLE:
P60
PI:
ZTF19uhox
AT2020ckp
AT2018jkw
TESSxtf
PS20lto
AT2020wgy
response
waveobs
B-channel
10:56:00+00:00
ASASSN-19ii
ATLAS20gca
BRATS-005
xrf
SAAO
ASASSN-18rn
2020dcv
2012-11-15T00:00:00.000
PTSS19clcj
Wavelength_Angstrom
AT2020zfo
erg/s/cm^2/Angstrom
sn2016coj-20160612.214-ir.ms.fits
ATLAS20gtc
ZTF19aadgimr
=
e_lam
ATLAS19mbi
ATLAS19els
ASASSN-19ah
AT2019bjz
col0
AT-jzt
2023-09-19T06:35:29.65
AT2021jbp
ASASSN-14lu
AT2019pig
ASASgsu
ZTF18vmm
xconc
ATxhx
ASASSN-18bt
SIMPLE
AT2020uyn
IMAGE
Gaiadmj-Fon_/_DQE
2021oez
ATLAS20idr
Sigma
Flux_egs
ZTF19bmvt
ATLAS19cct
Flux error (erg/s/cm2/Å)
AT-jwq
ASASSN-19wf
ATLAS19cbq
ASASSN-15hx
ZTF21aaxtjvm
ASASSN-14kq
Flux[\muJy]
ASASSN-18aah
AT-ktf
WAVELENGTH
AT2019bsu
col3
ATLAS19dwr
ZTF19fzox
ATLAS19ccn
AT2020wux
AT2019gcd
sn2016coj-20160531.245-uv.ms.fits
2021fl
ATLAS19suf
ATLAS19dxg
AT2019ibd
FLAMBDA
20vwv
ATLAS20att
Gaia18cxz
21feg
rol
Error
P
f_lam
AT2019sqo
ZTF19fqug
2020adox
kaj
AT2020vcc
XTENSION:
flambda
2021hj
INSTNAME:
AT19xvr
eflux
SIG
FLUX
tpg
AT2019big
Gaia18dcg
ATLAS19axa
ZTF18abcezmh_20180703_P60_v1.ascii
ATLAS19emh
IVAR
tuq
APO
AT2020abgn
sig
eke
TELESCOPE:
ATLAS20awb
lambda_AA
2021iy
AT2020vdm
ERROR
ATLAS19swk
FILENAME:
ATLAS18xhr
ATLAS19cde
2020aerb
AT2020tef
Podb
AT19yvv
Gaia19aim
ZTF19aagviec
2021G
AT2020tul
2025yz
ATLAS19dyq
ATLAS19emm
wave
AT2020swy
trb
Qerr
AT2021mab
ATLAS25aoh
ATLAS19kky
Cali
Pnzv
AbsFlux(10^-15ergcm^-2s^-1(AA)^-1)
ASASSN-18qw
e_flux
PTSS18jmj
AT2018jpi
Rich/Hinds/Wise
2024abfw
xpixel
flux_density
2020admd
telcor
ZTF19fxby
Angstrom	10^-18
ASASSN-18aar
ASsaz
21iaw
WAVE
ASASSN-14jc
Wave
True
Converted
wavelength
flam
AT2020zkx
ATLAS19mbc
AT2019agl
ATLAS20auf
SNNAME
IDxfx
ASASSNhq
20yae
from
ASxin
20voz
RA
ATLAS19dxj
AT2019pdx
AT2020abgc
2020adlc
ATLAS20ied
ZTF19aacsofi
AT2020vaw
SKYBACK
ATLAS19oyk
ASASSNhu
ASASSN-18abi
2021c
21isv
24pom
Uerr
20vau
ATLAS19cdc
ATLAS21hjl
SN2019yvq
flag
ZTF19aacqeai
ZTF20dibr
ATLAS20bjwe
flux_smoothed
2014-04-27T00:00:00.000
wavelength(AA)
AA
AT2019qym
Wavelength(angstroms)
spectrum:
Shappee
PS20hzz
ASASSN19ip
20uyh
ASbwr
20xyk
AT2020yzs
AbsFlux(10^-16ergcm^-2s^-1(AA)^-1)
sn2016coj-20160614.198-uv.ms.fits
ATLAS19kcs
ZTF19aaaheft
idk
flux_not_tell_corrected
AT2019iif
ATxek
yaftsub
ATLAS18zob
AbsFlux(10^-14ergcm^-2s^-1(AA)^-1)
AT2021lqy
2023-09-29
flux_err
AT2020wts
ASASSN-19bk
ATLASgwa
AT2020zmr
ZTF18aaayemw
x
col9
20ywh
AT2019rjm
ZTF19ohrk
ATLAS18zpz
2020adle
rwt
ell
ATxbf
"ALwe050142.fits[1][400,2102][real]:"
OBJECT
AT2020yzv
AT2020zlp
AT2019ikb
TELESCOPE
AT2019ifx
ZTF19qzhm
ATxug
ThetaErr
dispersion
ZTF19adcbyiw
ATLAS19ogl
ASASSN-19bi
PS20mde
ASAShcg
ASASSN-19os
20zfu
ATLAS20bftx
GROUPS
AT2020abmi
spec_sum
col4
C.Lidman
Wavelength
ZTF18aabcwtr
eow
ATLAS20ibk
OBSERVAT
Gaia19bzz
ZTF19syyn
AT2021jzw
ASxtw
Q
ASASSN19hm
ATLAS18baiw
col6
D55
2025wl
tLSQ12gdj_20121112_Gr11_Free_slit1.5_1_f.asci
AT2019igz
ZTF19zuzd
ASASSN-19mj
ATLAS20bevi
20yav
dxg
ATLAS20biwy
ATLAS18bagj
2012-12-18T00:00:00.000
PS21dhv
ASASSN-14lt
20xkw
