columns
ASASSN-14kq
ATLAS19kcs
ZTF19aagviec
ATLAS20ibn
TELESCOPE
PTSS19clcj
20yav
spec_optimal
AT2020zem
Observed
wavelength
col10
20xkw
20zfu
ATLAS18xhr
ATLAS19mbi
OBSERVERS
ZTF21aaxtjvm
AT2018jpi
ASASSN-14lu
erg/s/cm^2/Angstrom
ASASSN19il
20ywh
21isv
GROUPS
Rich/Wise/Hinds
ATLAS20idr
ZTF19aaaajtq
DATE-OBS=
AT2019gcd
wavelen
AT2020vbs
2021F
Perr
Gaia18dcg
ATLAS18pqr
AStym
flux(flam)
trb
Shappee
ATLAS20bgfh
UH88
ATxek
Sigma
col6
ATLAS18zpz
2014-04-27T00:00:00.000
AT2020wlw
sn2016coj-20160531.244-ir.ms.fits
ATLAS19cde
AT-kcv
FLAMBDA
2012-11-13T00:00:00.000
2020adqy
ZTF18aacdbzx
2021K
ZTF19syyn
Wavelength(AA)	f_lam(1e-16
Flux(10-15)
Uerr
ASASSN-18abi
e_flux
ATLAS19cau
AT2019iif
y
2020adlb
ATLAS18vor
Ppcn
2021oez
tuq
ATxbf
(A)	FluxDens(1d-15)
AT2020ckp
ATxhx
AT2020uyn
AT-jzt
ATLAS19emh
AT2020zlp
ASASSN-14lv
AT19xvr
ATLAS19dxj
ZTF19ohrk
C.Lidman
flux_smoothed
BRUTUS8556_1
ATLAS19kej
AT2018jpx
2021G
ASASSN-18aar
AT2019bgs
ASASSN19ip
ATLAS19cdc
AbsFlux(10^-15ergcm^-2s^-1(AA)^-1)
AT2019sqi
sky_flux
AT2019igz
col4
20vau
col2
AT2020wts
ATLAS20idt
WL[\AA]
ZTF20dibr
"ALwe050142.fits[1][400,2102][real]:"
ASASSN19nw
dispersion
Flux (erg/s/cm2/Å)
ATLAS19kdv
TELESCOPE:
eow
evv
ZTF19aacqeai
ATLAS20auf
ZTF19hwxs
20vwv
OBS_DATE:
ZTF19zuzd
ZTF18aabcwtr
Ppdy
ATLAS20bjgs
ATLAS19suf
ATLAS19ccn
Gaia18dpp
2021yk
ell
ATLAS21hjl
dxg
ATLAS18bagj
ZTFaacijie
spec_sum
AT2018jkw
OBSERVAT
2012-12-18T00:00:00.000
AT2020yzs
ASAShcg
AT2020yzx
ASASSN-18qw
ASASSN-14me
xrf
AT2020tgk
ATwzz
yaftsub
lambda
ATLAS20cnh
AT2018jly
AT2019pig
AT2019sqo
wavelength(um)
True
AT2020wgy
2024abfw
flux_unc
ZTF18abcezmh_20180703_P60_v1.ascii
ATLAS20ibk
ASbwr
Error
variance/error
flux_tell_corrected
ATxug
Wave
ASASSN19lp
AT2020csk
Flux
AT2020vaw
ZTF18aaayemw
ATLAS19els
Variance
ASxtw
10:56:00+00:00
ATLAS20fay
Rich/Hinds/Wise
IO
col3
AT2020vcc
AT2019igb
ATLAS19sys
AT2019big
AT2020zko
flam
Angstrom	10^-18
Normalized_flux
AT2019ibd
ATLAS20bevi
tpg
24pom
tLSQ12gdj_20121112_Gr11_Free_slit1.5_1_f.asci
2023-09-29
PTSS18jmj
sn2016coj-20160531.245-uv.ms.fits
ATLAS19kky
SNNAME
2020aeps
ASASSN-19bk
ZTF18aaqzhib
21iaw
TESSxtf
FLUX
ATLAS19mbc
20zjx
AT2019bsu
ATLAS19axa
cvo
flambda
flux_cgs_AA
x
AT2020xda
AT2020abhx
2025ud
sig
2025wl
AT2018jag
ATLAS19dyq
ASASSN-14lt
AT2021lqy
AT2020swy
spectrum:
2012-11-15T00:00:00.000
AT-kah
ZTF18vmm
trace_spec
AT2021mhv
RA
f_lam
ZTF19fxby
ATLAS21gba
B.Martin
2020aerb
ASASSN-19ii
ATLAS19dzh
ASASSN-19bi
ATLAS20bhnm
flux(mJy)
2023-09-19T06:35:29.65
2020admd
ZTF21aawtewf
AT2021jzw
ZTF19bmvt
ERR
idk
2020adox
20yae
telcor
ZTF20abobpcb
ZTF19aadgimr
cew
rwt
ZTF19adcbyiw
AT2020abvq
ASAShau
2025yz
2020dcv
ATLAS19swk
IMAGE
ATLAS19dxg
AT2020uek
ASASSN-19os
tls
ASxin
LAM
ASASSNhq
wave-obs
AT2019rjm
AT-ktf
e_lam
Gaia18cxi
U
Theta
FILENAME:
ZTF19fqug
ASeqv
Gaia18cxz
sn2016coj-20160614.198-uv.ms.fits
AT2020zmr
AT2018jlv
INSTNAME:
wl(A)
ATLAS19emm
cjq
Gaia19akc
AT2020tul
ATLAS20icx
Gaia19aim
ivar
ATLASgqg
Q
PS20lto
DICHROIC=
BRATS-005
=
Cali
20xyk
AS-19aeb
ZTF19aaaheft
ATLAS20awb
AT2019ifx
ATLAS19dwr
wav
ATLAS18zob
ATLAS19esm
dyt
ASASSN-19ah
Wavelength
erg/s/cm^2/AA)
IDdxr
P
2024abkj
ATxct
ASASSN-19mj
ATLAS20att
SIMPLE:
ZTF19uhox
ATLAS20gtc
AT2020wlv
ZTF19aaafgbt
AT2018joe
eke
ASASSN-14jc
Flux[\muJy]
Wavelength_Angstrom
ASASSN-18rn
tpk
ZTF19aacsofi
AT2020tce
AT2019ubh
OBSERVER
ATLAS20bfya
xconc
vacuum_wave
PTF13ast
ekb
ATLAS18znm
ATLAS19cct
21fnt
ASASSN-19om
IVAR
SIG
col5
AT2019pdx
SN2015F
AT-kpv
ZTF20xrko
ATLAS20ied
ASsam
Gaia19bzz
ASASSN-20dl
ATLAS25aoh
ZTF19qzhm
ASxit
col1
WAVE
AT2019bjz
20voz
sn2016coj-20160614.198-ir.ms.fits
BGFLUX
AT20aro
ASASSN-18bt
20uyh
AT2020zfo
AbsFlux(10^-16ergcm^-2s^-1(AA)^-1)
ATLAS18baiw
AT2019ikb
ATLAS20gom
ASASSNhp
ASASSN-19bs
2021hj
2025wa
flux_density
ATLAS19bdu
ASASSN-19mb
SIMPLE
ATLASgyw
ATLAS20gca
XTENSION:
ATLAS18wyv
sn2016coj-20160612.214-ir.ms.fits
21fof
AT2020tef
kaj
flux
cli
2012-12-09T00:00:00.000
APO
AT2020zen
ZTF19fzox
ASASSN-19wf
AT19yvv
col11
ASASSN-18aah
ERROR
KCWI
eok
ypixel
col9
Gaiadmj-Fon_/_DQE
2021nyt
enu
obswave
2020adld
SKYBACK
AT2020yzv
PS20mde
Err
AT2020abmi
Popx
Wavelength(angstroms)
ZTF21aaqldsj
20xuq
WIWI
flag
flux_err
AT2020vdm
Flux_egs
AT2020txx
AT2019agl
2021iy
2021fl
AT2019agi
ATLAS19cbq
PS21dhv
2022siz
ATLASgwa
PI:
AT2021jbp
P60
2013-01-08T00:00:00.000
2020adlc
21feg
ASsaz
flux_not_tell_corrected
ATLAS19ogl
IDxfx
AT2020abgc
AT2020soi
AA
eflux
ASASgsu
AT2019tyn
from
Intensity
AT2020zkt
AT2021mab
OBSDATE
AT2020zkx
Converted
Qerr
ThetaErr
2021c
Flux error (erg/s/cm2/Å)
response
ATLAS20iel
20skx
ASASSNhu
14:04:11.25
AT2020abgn
dnu
xpixel
SN2019yvq
wavelength(AA)
waveobs
ASASSN-19bx
ATLAS20biwy
WAVELENGTH
2020adle
SAAO
ATLAS20bjwe
OBJECT
air_wave
AT2019qym
sn2016coj-20160612.214-uv.ms.fits
AT-jwq
by
yconc
ATLAS20bilw
ASASSN-15hx
fluxerr
col7
#wavelength
Podb
AT2020wie
D55
ATLAS20ibe
wave
col8
AbsFlux(10^-14ergcm^-2s^-1(AA)^-1)
ASASSN-14hr
rol
2021ace
Wavelength (Å)
AT2020wux
ATLAS21him
PS20hzz
wl
err
ASASSN19hm
ATLAS20bevw
Sky
Pnzv
lambda_AA
ASASSN19ng
B-channel
AT2019fma
col0
AT2019bgn
ATLAS20bftx
ATLAS19oyk
