time,mag,magerr,band
58732.37129630009,21.109413680130114,0.5600815011785324,ZTF_i
58743.33810190018,21.742582094180634,1.3990865388481093,R
58743.380949100014,21.465839480142964,1.5907296082512876,g
58747.40827549994,22.27012036906752,1.3319771446295043,R
58748.288611100055,22.1740881732922,1.33576338586532,ZTF_i
58750.36109950021,21.95405165607015,1.0346126388337842,g
58757.29339119978,22.16907997023805,0.9780311568924602,R
58764.34082179982,20.97241098919055,0.4804435416636299,g
58765.294733799994,20.991372793228308,0.7591886972717887,ZTF_i
58769.24078699993,19.817749895877103,0.3948443451794669,g
58769.294953700155,19.600283577462477,0.3331066546052781,ZTF_i
58770.33339119982,19.09194022251762,0.19174570760627307,R
58771.32751160022,19.15615718864537,0.17466249266983844,R
58772.18868059991,19.034818676567834,0.11859622414924152,g
58773.276215299964,19.12990996021706,0.08274700676159386,R
58773.27666669991,19.000993477563892,0.10131779756214263,R
58774.23434029985,18.72755197167441,0.0629871620620732,R
58774.281423599925,19.015142915812426,0.08799832564134867,R
58774.28187499987,19.04003666155258,0.08830427151219823,R
58775.184652800206,18.656472706481637,0.031777412129500575,g
58775.19190970017,18.694071305947972,0.040738227334922925,R
58778.1865393999,18.40284975864818,0.03037423431614022,g
58778.31596060004,18.505257986811863,0.05609904038942906,R
58782.229606499895,18.16241895526566,0.028776854457215412,g
58785.215983800124,18.10120907352526,0.02494494792269628,g
58789.205613399856,18.353406429343824,0.0334333540355617,g
58789.22821759991,18.13403636431493,0.030494535760140055,R
58792.147407399956,18.023371079377394,0.035331349429318995,R
58792.19180560019,18.500619872749926,0.058977373342388555,g
58796.1883911998,18.940423544988725,0.16702158796042418,g
58796.297546300106,18.111338488788917,0.10026732647262665,R
58800.17358799977,19.059733635849682,0.12033955508527044,g
58800.254745400045,18.506999585950656,0.07894313532171762,R
58803.233622699976,18.74878348958746,0.07072161976752557,R
58806.174016200006,20.33081655406175,0.3936820938466505,g
58812.140729200095,19.965664532724013,0.11110939630939984,g
58812.174571800046,19.086223671366415,0.06390097001028201,R
58830.091678199824,20.60669528511263,0.4420360818030232,g
58833.070787000004,19.360448089494575,0.14952215442967984,R
58836.106527800206,20.30513556694408,0.18334015973650095,g
58839.072488400154,18.97812416687,1.5275132547460997,R
58847.077094899956,19.804098523910923,0.30744283988725013,R
58860.129467600025,19.88199997656473,0.312667519097414,R
58863.090185199864,19.989827056161694,0.19905112571159994,R
58863.10915509984,20.765040523469654,0.44481748623286305,g
58872.09113429999,20.311938727279113,0.38961116187935935,R
58872.09613429988,20.606988634054513,0.4796734575007743,R
58872.10113430023,19.892879484303172,0.2538921111171752,R
58874.09568289993,19.650939389544526,0.5561292494157787,R
58874.10555560002,20.807116125334026,0.7251101493884334,R
