time,mag,magerr,band
59636.40737270005,22.000350062968966,0.5789325638076284,R
59639.300763899926,22.7611671761996,1.8257772536467984,R
59639.31869209977,22.902578547604882,1.7138705249065953,g
59641.30629630014,22.495057384645754,1.1217231030018295,R
59641.32332180021,22.487897221674718,0.9070460888767058,R
59671.43060189998,23.496599923016237,1.679103193883029,g
59674.410138899926,22.59174793558801,1.2345762215688392,g
59676.30210650014,22.142416809089212,0.9415582527875335,g
59676.32226849999,22.885739338347744,1.9882473031371042,g
59676.371388900094,21.88942341020477,1.0701936246278176,R
59678.304803200066,22.63794297466414,1.2167500724342064,g
59678.347071799915,22.837078024687415,1.2750313298432903,g
59680.23943290021,21.769007168206386,0.9034865684945407,R
59683.294421299826,18.096473983632322,0.045256917697256246,g
59683.36092589982,18.15183921133766,0.03399208988980107,R
59684.28405090002,18.254182388512913,0.05548995530147643,g
59684.3264930998,18.187677063011076,0.03763385633660047,R
59685.23851849977,18.37413693922535,0.03855423812655776,R
59685.38369210018,18.641515454277783,0.11110740084076408,g
59687.36089120014,19.30612983871962,0.10992016637704638,R
59688.2810531999,20.132823864425774,0.21128070241209237,g
59688.34388889978,19.210780518088473,0.14862852542732255,R
59689.26325230021,18.99919740181114,0.06625302582446088,R
59690.24104169989,18.899000635874774,0.038823737793884476,R
59690.283321800176,19.593128217995734,0.06910590703669661,g
59693.23635420017,19.065490610937935,0.0513026709470235,g
59693.265173600055,18.439735296305674,0.030515058789067163,R
59694.1849769,18.28059218717508,0.026010390286187308,R
59694.364618100226,19.06972278898068,0.06476220436211101,g
59696.202094899956,18.752387190434714,0.029041720769711152,g
59696.262048599776,17.996250524538652,0.03190535881539528,R
59697.2633795999,18.61618177868203,0.02676772722212037,g
59697.30490740016,18.001326384880247,0.01758293531304585,R
59699.22562499996,18.673425764104977,0.029751935418369218,g
59699.28171300003,17.861893045473334,0.019337303591015733,R
59699.45043980004,18.610027189497526,0.04196773688867986,g
59701.304282399826,18.718758367163314,0.03389386396288433,g
59701.3457986,18.70653569898697,0.0431908575448961,g
59701.36594909988,18.683424534366132,0.041618241831682924,g
59707.18137730006,17.90874066195734,0.021013509808828348,R
59707.21870370023,17.971774170127084,0.02675129697307813,R
59707.22109950008,17.92820178554922,0.024095524439959274,R
59707.2643519002,17.93906094270894,0.024678496277190844,R
59709.17777779978,17.97882885065521,0.024161195797367887,R
59709.19348380016,17.997935876904286,0.024839388111575423,R
59709.26291669998,18.048282629728263,0.028101172330640693,R
59709.2643519002,18.01293501020369,0.02607026574914841,R
59711.185428199824,19.16878435398494,0.08147511656797539,g
59711.19567129994,19.308861781890663,0.09026982191315966,g
59711.30245369999,18.245404671250522,0.057401477962618366,R
59713.204710599966,19.3609239377355,0.12692912884966384,g
59713.229606499895,18.204214424754447,0.04151854851378354,R
59713.241504599806,18.29332851249221,0.04127978294649566,R
59713.325682899915,19.354945566446414,0.1302391565379876,g
59715.20134259993,18.387494651218148,0.02535942878380584,R
59715.20467589982,18.337569792507594,0.02474670800800848,R
59715.243541699834,19.520053329740918,0.13528606888613293,g
59715.24593750015,19.63006402129915,0.13005593512476263,g
59718.19938659994,18.564226579160533,0.032304765526229774,R
59718.26394680003,18.6756270251257,0.04152503834843252,R
59719.19650459988,18.74139244616202,0.03488335516870152,R
59719.22068289993,18.73948756534699,0.03339542439915621,R
59722.28603010019,20.20252160468641,0.13461189967126225,g
59722.28846060019,20.178799767113595,0.1151786142252616,g
59724.21989580011,20.158875659036894,0.11478763101957346,g
59724.22037040023,20.33589946137144,0.12638797867181384,g
59724.263182899915,18.863145106742618,0.039745142418924344,R
59724.26508100005,18.9486048890772,0.04835720557812044,R
59726.24509260012,20.444574500099684,0.1346496942513031,g
59726.304803200066,20.279870030421776,0.11761683778473225,g
59731.20430559991,20.727827539375742,0.20059460948187388,g
59731.220324099995,20.42221562485365,0.16832194130222672,g
59731.282569400035,19.32892891233286,0.07535019180972237,R
59731.28872689977,19.211980927039697,0.06814118858156029,R
59733.21994209988,19.222799598256266,0.04714204338378132,R
59733.2213773001,19.23022081863902,0.05292364969718249,R
59736.187627300154,19.30775330999738,0.058734194256887334,R
59736.200949099846,19.222997773766483,0.05430018272070694,R
59736.23978010006,20.722151989521468,0.26978761181925087,g
59736.24074070016,20.587536808054033,0.2181258454924769,g
59738.18430559989,20.44392814024716,0.23586743833046683,g
59738.20172449993,20.875023407065882,0.42221479517183946,g
59738.2396296002,19.28575249819287,0.07170757837434345,R
59738.24202550016,19.244681179836046,0.07632942606382431,R
59740.20123839984,19.395442228346287,0.07953558836176533,R
59740.261759299785,20.122789685499082,0.22709606325790277,g
59740.26648150012,20.65511743279908,0.3338879123506165,g
59742.24726849981,19.71482508871881,0.17150366383538723,R
59742.26326389983,19.440646773911066,0.14742941103750476,R
59742.29942130018,20.758982905818343,0.7194329309667551,g
59747.30439809989,20.409728199660332,0.3197285054774312,g
59749.206701400224,19.486189376180192,0.08938512050460745,R
59749.23917819979,20.440623130915355,0.2044632484736985,g
