time,mag,magerr,band
58422.388449099846,22.390479708956818,1.4992044221044882,R
58422.47019679984,22.744244618307082,1.5441422192156544,g
58423.38458329998,22.941331310149067,1.4268886234380402,R
58423.42165509984,22.69154358010327,1.607618418563507,g
58423.47452550009,22.808869281042128,1.5872133144752487,g
58426.38865739992,22.275109909591663,0.7229791884905539,g
58427.41979169985,22.286885554307474,1.1117931089265631,g
58427.421192099806,22.497562479470982,1.402834439676571,g
58428.322754600085,22.83069173803369,1.153482859976832,g
58429.445833299775,23.516729788855578,1.5824617291986094,g
58430.42386570014,22.937875813856753,1.0464406195363707,g
58430.4248147998,22.2985420092836,0.47108544518584944,g
58431.36510419985,21.505996960133007,0.8762289825518321,R
58431.45309029985,22.666613771073663,1.5580358490029638,g
58432.425451400224,22.61215111432068,0.9867994135767018,g
58432.45166670019,22.5851898259059,0.7531170786538296,g
58434.36600690009,22.505363989629533,1.512922402528201,R
58436.40155090019,17.70901081125307,1.1827119271913489,R
58437.36782409996,21.06090058119935,0.2923901964693061,R
58437.36884259991,21.621896825239876,0.48942823006181446,R
58437.3840855998,21.912478487891114,0.7731546639365879,R
58437.38512729993,20.969285470753153,0.30318687291997604,R
58437.422546300106,20.967148874267437,0.24864999693753403,g
58437.42442130018,20.670816811859826,0.16606305964438933,g
58437.446006900165,20.66752581203746,0.2145263818184594,g
58437.446909700055,20.529170495066552,0.1746625679857025,g
58438.322210600134,17.228630570500773,0.6712886536381564,R
58438.34218750009,19.13625761606832,0.9407075582673317,R
58438.41876159981,20.357942547317922,0.11928454112536827,g
58438.44744209992,20.569295539319647,0.1146831725662736,g
58438.50726850005,20.61427361284386,0.2007994285102518,R
58439.31755790021,22.20562893989736,0.8832160330133239,R
58439.444918999914,20.417621594619565,0.1547853897982648,g
58440.41403939994,19.955849244884817,0.19056862063404875,g
58440.42628470017,20.757659494403427,1.7517202315881457,g
58440.427199100144,19.349704275129284,0.8325256476369461,g
58441.353414400015,20.595903975773275,0.22661199396393725,R
58441.428090299945,19.752168972769557,0.11897868237055224,R
58441.430405099876,19.829004301502664,0.10239728161878457,R
58441.46796299983,19.678413609609635,0.09099807046474016,g
