time,mag,magerr,band
58539.3733333,21.76214289062208,1.017527789862843,R
58539.39546300005,21.712184818973267,1.2879913241851049,g
58539.398842600174,21.646341214748,1.2524198599125842,g
58543.48434029985,22.20540881888266,1.0641022975472836,g
58560.28937500017,20.943212211475483,0.6239979744867079,g
58567.37578700017,21.244766669712373,0.5978134720047671,R
58568.27042819979,22.801221246320463,1.3270742636416533,g
58568.31622690009,20.944739793630937,0.7426450614871271,R
58572.35987270018,21.6462389127335,0.9463267564494733,R
58575.353356500156,21.790131814488515,1.9198500470470576,g
58575.41615739977,22.949259016440667,1.7728168316675161,R
58580.35590279987,20.6694931844929,0.1766537061156659,R
58580.356805600226,20.48867901689067,0.16953132041945018,R
58580.40056709992,20.960758132143717,0.26719133635451153,g
58580.40146989981,20.936610731856028,0.2539802567223761,g
58581.31508099986,19.494566986908833,0.0684417247345167,g
58581.362719899975,19.90244653940937,0.16188594661177286,R
58582.29048610013,18.656965318266103,0.035482329902544435,R
58582.35218749987,18.26582107814802,0.028170279712195406,g
58583.29922450008,18.181223551138746,0.03234294391694248,R
58583.35744210007,17.85286589547026,0.021903554214306044,g
58583.358344899956,17.860188778525963,0.022127916042088365,g
58584.25526619982,17.53842246066157,0.01691063026727444,g
58584.31418980006,17.761063171271118,0.019499727820178496,R
58585.336689800024,17.559293747143236,0.015312106968494955,R
58586.27288189996,17.387439020396908,0.017136843963108446,g
58586.33439810015,17.594769576610734,0.018001684946075663,R
58587.30832180008,17.515598260804342,0.01879343173169736,R
58587.33307870012,17.311358527415088,0.014630095002862435,g
58588.31256939983,17.34844182720905,0.038865242897258526,g
58588.33806709992,17.490961115996097,0.04772276602163129,R
58589.29517359985,17.677227093804888,0.07171503572239221,R
58589.296076400205,17.53680473567153,0.06811391667161859,R
58589.39469909994,17.66831007018395,0.24990714994739613,g
58593.31484950008,17.946445855145186,0.052121144063376576,R
58593.31575229997,17.936704098142005,0.048243077003339976,R
58593.34822920011,17.982359730112872,0.05235487415395193,R
58594.291840299964,18.080910051333653,0.05745304159267488,g
58594.336412000004,18.12020657824678,0.06099057833429501,R
58596.2329051001,18.24912838947371,0.028572499466177327,g
58596.25008099992,18.26265389786737,0.02238182477242263,g
58596.274455999956,18.41398851603786,0.04018096705310746,R
58596.276134300046,18.30547795727663,0.03500863822307168,R
58597.29481479991,18.28515018717193,0.025423397669440052,g
58597.35270830011,18.56280232359542,0.035072008246393976,R
58598.31820600014,18.646741441678472,0.0315600894706041,R
58599.31910880003,18.5013406662076,0.013641071287843523,g
58599.47993060015,18.834101053866483,0.040022132099068665,R
58600.23406249983,18.609304455323947,0.032739580684410186,g
58600.23635420017,18.65952142189157,0.033021934775445794,g
58601.238020800054,18.749467432747124,0.030368101242297083,g
58601.30630790023,19.17853763429568,0.04651006499102596,R
58602.286296300124,19.382853462808093,0.059791460510033236,R
58606.261759299785,19.925247637240155,0.08884946761686455,R
58606.30387730012,19.756555031649164,0.08494223732427002,R
58606.39859949984,19.447213823347653,0.04998355599272291,g
58606.417905100156,19.454734031457214,0.048716151034277025,g
58608.27033559978,20.178540529146787,0.11500923079239957,R
58612.24746529991,20.313631131547837,0.10371132871881643,R
58612.273888899945,19.930421180106357,0.0626467063869555,g
58616.23114580009,20.50283204743412,0.271244427722589,g
58616.298101900145,20.35347500788203,0.18441636187790147,R
58618.239409700036,21.515071596008973,0.8046999071718739,R
58628.2097800998,20.90739585543518,0.1736600414014892,g
58628.21297449991,20.985253840007797,0.19338828346055786,g
58628.28682869999,21.62656484549302,0.45357974145196905,R
58633.24995370023,21.055572649465955,0.22527749753749907,g
58634.23581020022,21.02986927330945,0.21948578219189427,g
58634.23773150006,21.812107113041286,0.40882577747382515,g
58634.26899310015,22.2638194206364,0.6964727209231929,R
58634.269895799924,21.70948257488277,0.4461759871597338,R
58635.19013890019,21.45900749453795,0.3591135190098754,g
58635.264398099855,21.860960441724156,0.3887732425677691,R
58636.225891199894,21.958143775458044,0.4791632313368957,R
58637.187604200095,23.332911343606135,1.602298832011653,R
58637.20767359994,21.659275982090293,0.4001702239750633,R
58637.231631900184,21.71183274412046,0.338993431960301,g
58637.232523099985,21.298472781848382,0.23197306165243273,g
58638.208495399915,21.965881432589356,0.48467018051556626,g
58639.233576400205,21.809049506835372,0.44685139756397124,g
58640.19192129979,21.750851241078152,0.36236884204504033,g
58640.192881899886,21.831723900622492,0.42162991595346333,g
58640.232175900135,21.92521434968542,0.4825762791304354,R
58640.23313659988,22.096771551661938,0.6436620142335873,R
58641.182430599816,22.066385310604932,0.8600041881702527,g
58641.27651620004,22.435949173450425,0.8323140431838971,R
58642.192881899886,21.896881349578862,0.49290678228320955,g
58642.23092589993,22.249583846666205,0.7340164706447552,R
58643.19291670015,21.484756539697802,0.40941220619130025,g
58643.19388889987,22.118530807284056,0.8910681502200166,g
58643.2347569,22.331941992019352,0.9180388121930232,R
58643.235729199834,21.921994342955628,0.653637114823012,R
58648.19053239981,21.2912118744795,0.9522738839316722,R
58654.19197920011,22.579830798756365,0.9809257182886381,R
58665.27005789988,22.277688160003965,0.9501124528829802,R
58668.17217590008,22.50073028958815,1.2999833816740858,R
58671.20461810008,22.145371950733697,1.1102094608663735,R
58675.30127310008,21.600743385187933,1.6421537944566582,g
58681.235115699936,21.416400018495466,0.9291833697605885,R
58682.23710650019,21.84235536734523,1.0514760092456628,R
58683.19236110011,21.939923433326566,0.7312682407028633,g
58685.18651620019,23.100875016205663,1.5672526633638513,g
58686.17009259993,21.63768460154122,0.6157645382693984,g
58693.24972219998,21.59116894344007,0.7839779674926878,g
58716.14483800018,21.369278988269116,0.7397519909282249,R
