freq,spec
3776.7,0.27567236152334484
3792.5649122198897,0.7106346702479426
3808.4964687164615,0.6745726735727757
3824.494949444596,1.0
3840.560635535191,0.9602471181783013
3856.693809300099,0.699744846738997
3872.894754237091,0.37284114629179294
3889.1637550348355,0.3540293234591471
3905.5010975779037,0.17792473723942806
3921.90706895179,0.2078858734125572
3938.38195744796,0.19524435001826843
3954.9260525689147,0.0
3971.5396450332773,0.21558398571062093
3988.223026780905,0.20476397970011814
4004.976490978014,0.1985331236007146
4021.800332022335,0.12790933774252233
4038.6948455482857,0.11992447012381949
4055.660328432164,0.34305368590202184
4072.6970787973682,0.27567236152334484
4089.8053960196316,0.26708694559905316
4106.9855807322865,0.36615140115695605
4124.237934831544,0.34455873529583964
4141.562761481806,0.33644873792067154
4158.960365120981,0.4607058140047078
4176.431051465844,0.4641127030068509
4193.975127517404,0.4559658803847141
4211.5929015663,0.37270794473499297
4229.284683198216,0.27151676863060276
4247.050783299326,0.26580953935945906
4264.891514061754,0.3774518799180108
4282.807188989056,0.335527817463336
4300.798122901737,0.3298700318117635
4318.864631942779,0.21406099941276463
4337.007033583194,0.25542896522540726
4355.2256466276085,0.28055615800863165
4373.520791219862,0.27567236152334484
4391.892788848629,0.2575238970250969
4410.341962353077,0.3259139167866509
4428.868635928534,0.25210037807873004
4447.473135132185,0.24767420785988173
4466.155786888795,0.28749399612927967
4484.9169194964525,0.3339273208396952
4503.756862632342,0.3294191103867365
4522.675947358528,0.16945960615870492
4541.674506127783,0.22594116710515683
4560.752872789427,0.25138618580368655
4579.911382595186,0.2481391640504288
4599.150372205097,0.23152557051627956
4618.470179693409,0.23574995206058919
4637.871144554534,0.2508397172895881
4657.353607709012,0.2486999112405461
4676.917911509497,0.37390432999347634
4696.564399746774,0.289048394062096
4716.2934176558065,0.27567236152334484
4736.105311921793,0.3521337556332757
4756.000430686269,0.3517281293194134
4775.979123553215,0.2803689759795487
4796.041741595208,0.2253787778178568
4816.188637359589,0.18371962218202592
4836.420164874652,0.18403382532928297
4856.736679655874,0.21383784923147003
4877.1385387121545,0.23586657812152154
4897.626100552097,0.26324212604946373
4918.199725190299,0.2633286380183557
4938.859774153689,0.26294697077392454
4959.606610487866,0.2534278002955795
4980.440598763497,0.2700913456931924
5001.362105082707,0.28091710324789887
5022.371497085518,0.19006974919732594
5043.469143956316,0.22916666145792133
5064.655416430324,0.22545716663695653
5085.930686800133,0.27567236152334484
5107.2953289222305,0.3340918903654853
5128.749718223579,0.33568006566145564
5150.294231708209,0.2609344907310914
5171.929247963843,0.23467292983453666
5193.6551471685525,0.2271334597059217
5215.472311097434,0.1742339427760735
5237.381123129321,0.13560596046103016
5259.381968253518,0.12781987640661321
5281.475233076568,0.17016277165825244
5303.661305829045,0.18936111666572078
5325.940576372376,0.1678286411646312
5348.313436205696,0.16265739756566294
5370.780278472717,0.15430856787382674
5393.341497968649,0.20121465537207742
5415.997491147128,0.21611006140830058
5438.748656127187,0.21357259114982308
5461.595392700254,0.27567236152334484
5484.538102337171,0.23306068621148066
5507.577188195253,0.23043597603294277
5530.713055125373,0.21490832420748354
5553.946109679073,0.24321054675865203
5577.276760115713,0.2495845764964192
5600.705416409638,0.20300018725928679
5624.232490257388,0.19868187716511865
5647.858395084933,0.23441772214679416
5671.58354605493,0.2548368820641862
5695.408360074029,0.24131101594538917
5719.333255800192,0.25219155699494816
5743.3586536500525,0.23687578514563076
5767.4849758063,0.23788261839972732
5791.712646225104,0.2800622542082326
5816.042090643562,0.23019536191962056
5840.473736587174,0.21952005167838862
5865.008013377368,0.22590092909436563
5889.645352139034,0.27567236152334484
5914.386185808102,0.2555774510348943
5939.230949139151,0.33709509290463563
5964.18007871305,0.46472506925519436
5989.2340129446275,0.5284715129554651
6014.393192090374,0.5300892280318276
6039.658058256185,0.5283515329528563
6065.02905540512,0.48980990607334124
