#sn_name peak_mjd peak_mag filt
1996D None None ZTF_g
2010ct 58574.56053469669 20.039374414358427 ZTF_g
2016flq None None ZTF_g
2016ilg None None ZTF_g
2017hbx None None ZTF_g
2018fob None None ZTF_g
2018gcj 58371.68541410136 18.89220249481463 ZTF_g
2018jaw 58448.91111103308 -245.8519421081468 ZTF_g
2018kva 58483.665183099256 18.1045728621725 ZTF_g
2018oz None None ZTF_g
2019abb 58509.80134561199 18.02990048072861 ZTF_g
2019cad 58596.01843439215 17.726468136888 ZTF_g
2019cri 58595.778695020264 18.04073985382023 ZTF_g
2019dld 58592.55357488526 18.887924437095645 ZTF_g
2019dwa 58617.92282547278 18.850247998683848 ZTF_g
2019eix 58622.2175142427 17.64339538147623 ZTF_g
2019gqd 58644.05629876836 19.246592338798862 ZTF_g
2019icf 58663.29581745751 19.405619431381517 ZTF_g
2019ilo 58673.730375626124 18.69191419431924 ZTF_g
2019lfj 58685.179530442576 19.003098264850887 ZTF_g
2019nkf None None ZTF_g
2019smi 58789.839399106044 19.31323689598008 ZTF_g
2019tqb None None ZTF_g
2019yz None None ZTF_g
2020abdw 59195.03152390171 19.013357597923967 ZTF_g
2020aut 58884.039403038674 18.22853557357421 ZTF_g
2020axo 58882.611579840246 18.6499999012214 ZTF_g
2020cgu 58896.4284923226 18.1442335611023 ZTF_g
2020hdh 58958.4728072161 18.040911244726285 ZTF_g
2020heq 58958.07316308013 19.12129877283672 ZTF_g
2020hop 58957.6850770371 18.39337575191313 ZTF_g
2020mbt 59028.20829004046 18.699352928571727 ZTF_g
2020nf None None ZTF_g
2020oc None None ZTF_g
2020oce 59040.647178841784 18.045775329656898 ZTF_g
2020rlg 59084.08431733376 18.79592719090574 ZTF_g
2020rur 59092.75754233464 18.107432645859372 ZTF_g
2020sgf 59121.09869122108 18.767943833371348 ZTF_g
2020uvh 59135.51025577245 19.192824284529777 ZTF_g
2020xpn 59154.48565790726 17.728088773747587 ZTF_g
2021adgu 59535.650099263745 18.76275724798237 ZTF_g
2021bm 59222.84334556015 17.821613125912844 ZTF_g
2021bwq 59257.857898684575 17.993574017416687 ZTF_g
2021kwg 59388.73148512367 19.97834001503375 ZTF_g
2021nqo 59374.48907057337 18.03871971660759 ZTF_g
2021vis 59450.79540320464 18.70774086244094 ZTF_g
2022abto None None ZTF_g
2022abuj 59919.28116219271 18.441941129435566 ZTF_g
2022aehk 59959.22283580993 5.131901000501687 ZTF_g
2022ibn 59699.40256821784 18.81219184471859 ZTF_g
2022lfa 59725.21533131178 20.956944912102205 ZTF_g
2022nmq 59757.00530903753 18.707824640877078 ZTF_g
2022oqm 59783.13834568244 16.595440787631087 ZTF_g
2022wwd 59864.67933601381 18.373450856087658 ZTF_g
2023aov 59973.267029058065 18.310677071301033 ZTF_g
2023apg 59977.57559239378 18.24997175544731 ZTF_g
2023apl 59980.79980868027 18.642271571855385 ZTF_g
2023bpv None None ZTF_g
2023er None None ZTF_g
2023hxp 60083.333101558885 18.88025229940191 ZTF_g
2023ijh 60126.182206876925 20.191942824006677 ZTF_g
2023uvg 60233.31585648441 18.580125554441764 ZTF_g
2024abmk 60648.39940080093 19.06237660366838 ZTF_g
2024abtu 60649.346249999944 17.680277657236918 ZTF_g
2024afao 60683.35787568575 18.691380264855106 ZTF_g
2024afbf 60675.269520670554 19.45777320905705 ZTF_g
2025aot 60723.43508530861 18.307000955986442 ZTF_g
2018fob None None ZTF_g
2018jaw 58450.63804132751 17.868178822182234 ZTF_g
2019cri 58600.6092519056 18.046188698820696 ZTF_g
2019dwa 58615.21993439333 18.841064235031894 ZTF_g
2019nkf 58749.50236110017 18.08236186487844 ZTF_g
2019yz None None ZTF_g
2020hop 58958.834247457926 18.544781101034022 ZTF_g
2020nf 58873.556504600216 17.911796871782283 ZTF_g
2020oc 58866.76499271446 18.960064038444397 ZTF_g
2022abto 59909.51901620021 17.447358167870664 ZTF_g
2022aehk 59951.55315657122 17.627308244353046 ZTF_g
2022nmq 59756.40689995941 18.845072717080694 ZTF_g
2023bpv 59995.76685592187 18.293888270805056 ZTF_g
2024abmk 60647.64387336902 19.088402454978787 ZTF_g
2022lfa 59732.911829054756 19.63704206655733 ZTF_g
2019eix 58614.36545797025 17.472481799860667 ZTF_g
2019tqb 58852.50270730423 18.84235084193345 ZTF_g
2020heq 58959.70560660269 19.032738169583027 ZTF_g
2021kwg 59388.724656435836 20.07288093972893 ZTF_g
2021vis 59451.023092033516 18.773185988348413 ZTF_g
2023er 59955.65875068614 18.9993205291738 ZTF_g
2023ijh 60128.179478740305 20.196906187917048 ZTF_g
2019eix 58617.161157943774 16.417285422551167 ZTF_r
2019tqb 58865.14939185264 17.830659892914774 ZTF_r
2020heq 58960.67158214273 18.655605058530345 ZTF_r
2021kwg 59336.77068915473 18.044370805409567 ZTF_r
2023er 59957.183935199864 17.957351844099666 ZTF_r
2023ijh 60092.638417546186 18.19112140375552 ZTF_r
2021vis 59462.38047456474 18.103116879119675 ZTF_r
