#sn_name peak_mjd peak_mag filt
2018ffs 58368.62465690143 18.434446791842056 ZTF_g
2018ibb 58463.820401458914 18.767720197250213 ZTF_g
2019aamp 58580.820334231306 19.30515521159614 ZTF_g
2019pud None None ZTF_g
2020jhm 58993.176624813146 16.71120609586165 ZTF_g
2020qlb 59139.5529890905 17.18271414434217 ZTF_g
2020tcw None None ZTF_g
2024dbb None None ZTF_g
2018ibb 58452.27346130718 18.80833615112198 ZTF_r
2019pud 58752.8840860734 17.90431320651922 ZTF_r
2024dbb 60459.103384311275 16.83406186211677 ZTF_r
2020tcw 59128.15226850007 16.16568643574627 ZTF_g
