ra,dec,jd_start,jd_end,obj_name,type
357.004512,27.549189,2457668.5,2458083.5,SN 2016ilg,SN Ic
53.582333,39.592931,2458105.6137731,2458520.6137731,SN 2018oz,SN Ic
267.302667,25.372481,2457984.6670139,2458399.6670139,SN 2017hbx,SN Ic
68.50125,-8.578889,2458865.6689236,2459280.6689236,SN 1996D,SN Ic
7.1521,-1.5509,2457578.8394,2457993.8394,SN 2016flq,SN Ic
193.5171055,13.5466262,2458415.0015394,2458830.0015394,SN 2018jaw,SN Ic
128.8175235,48.3175997,2458436.9420255,2458851.9420255,SN 2018kva,SN Ic
235.4887708,0.7109481,2458538.5,2458953.5,SN 2019yz,SN Ic
118.5719373,14.2729541,2458473.5,2458888.5,SN 2019abb,SN Ic
137.1789779,44.8127828,2458518.4453125,2458933.4453125,SN 2019cad,SN Ic
161.20842,6.60147,2458518.6392245,2458933.6392245,SN 2010ct,SN Ic
101.6643028,45.647756,2458543.7608333,2458958.7608333,SN 2019dld,SN Ic
208.5113348,14.7297076,2458547.578831,2458962.578831,SN 2019cri,SN Ic
280.678703913,40.3688326087,2458557.4943287,2458972.4943287,SN 2019eix,SN Ic
234.7395118,56.6050417,2458567.6725231,2458982.6725231,SN 2019dwa,SN Ic
247.208867513,39.834346194,2458592.900463,2459007.900463,SN 2019gqd,SN Ic
200.4763413,32.4220293,2458619.7334144,2459034.7334144,SN 2019ilo,SN Ic
264.4013279,43.5176207,2458620.8249306,2459035.8249306,SN 2019icf,SN Ic
29.4532049,13.1761697,2458642.9735301,2459057.9735301,SN 2019lfj,SN Ic
160.24481625,65.51558665,2458710.9955903,2459125.9955903,SN 2019nkf,SN Ic
245.474583,38.929789,2458800.0192014,2459215.0192014,SN 2019tqb,SN Ic
147.012191667,3.53827777778,2458830.9424769,2459245.9424769,SN 2020oc,SN Ic
172.00015713333,16.607431933333,2458830.7487963,2459245.7487963,SN 2020axo,SN Ic
212.5556545,-6.8224189,2458824.9271296,2459239.9271296,SN 2020aut,SN Ic
260.989167,30.821161,2458836.0288657,2459251.0288657,SN 2020nf,SN Ic
111.951020833,20.4015166667,2458841.6475926,2459256.6475926,SN 2020cgu,SN Ic
218.160313466,31.6710115041,2458905.5,2459320.5,SN 2020hdh,SN Ic
199.867453219,-13.7236828191,2458917.926794,2459332.926794,SN 2020hop,SN Ic
238.879966036,12.8958569295,2458917.8710764,2459332.8710764,SN 2020heq,SN Ic
6.0059044,-1.2233773,2458322.8728241,2458737.8728241,SN 2018gcj,SN Ic
169.78088435,47.29394865,2458972.7297338,2459387.7297338,SN 2020mbt,SN Ic
348.0864801,31.125995166667,2459000.8398264,2459415.8398264,SN 2020oce,SN Ic
61.1617818,33.8085216,2459041.8692245,2459456.8692245,SN 2020rlg,SN Ic
74.8408492303,5.62251979263,2459056.9602662,2459471.9602662,SN 2020rur,SN Ic
50.719833,42.556131,2459057.7983449,2459472.7983449,SN 2020sgf,SN Ic
70.1861626,67.7320835,2459085.9461227,2459500.9461227,SN 2020uvh,SN Ic
228.2801303,41.2697419,2458311.5,2458726.5,SN 2018fob,SN Ic
156.41261015556,16.787374777778,2459116.9894213,2459531.9894213,SN 2020xpn,SN Ic
119.8683659,26.8898245,2458739.9047222,2459154.9047222,SN 2019smi,SN Ic
30.3212626,24.0708174,2459149.642419,2459564.642419,SN 2020abdw,SN Ic
219.447000575,59.90703375,2459182.8957176,2459597.8957176,SN 2021bm,SN Ic
172.071154,-12.888258,2459202.8998264,2459617.8998264,SN 2021bwq,SN Ic
358.0981578,28.772906966666667,2459312.9333218,2459727.9333218,SN 2021kwg,SN Ic
322.36692491538,4.8874980692308,2459335.8368171,2459750.8368171,SN 2021nqo,SN Ic
