ra,dec,jd_start,jd_end,obj_name,type
358.100833,28.775167,2458230.9185069,2458645.9185069,SN 2018cew,SN Ib
218.33305,41.2676,2458154.7816088,2458569.7816088,SN 2018alc,SN Ib
26.713639375,-8.0586275,2458416.7158218,2458831.7158218,SN 2018jgs,SN Ib
221.8712354,-4.9349558,2458507.6081019,2458922.6081019,SN 2019bhh,SN Ib
176.067958,55.100561,2458523.5650463,2458938.5650463,SN 2019buy,SN Ib
227.8631,5.20044166667,2458566.6652546,2458981.6652546,SN 2019dxr,SN Ib
303.87133954,-9.05298651535,2458625.8643634,2459040.8643634,SN 2019iga,SN Ib
294.9470933,59.3679986,2458678.6865741,2459093.6865741,SN 2019pfb,SN Ib
106.996917,31.665361,2458674.9783771,2459089.9783771,SN 2019oys,SN Ib
120.708005322,15.8015086645,2458746.8968981,2459161.8968981,SN 2019tls,SN Ib
167.136666667,-10.4817888889,2458824.7781965,2459239.7781965,SN 2019tsf,SN Ib
4.805333,-14.397839,2458751.790544,2459166.790544,SN 2019uff,SN Ib
206.4790505,23.062001,2458787.0567014,2459202.0567014,SN 2019vsi,SN Ib
165.747583333,-16.2920694444,2458827.0318171,2459242.0318171,SN 2020avf,SN Ib
103.8479342,27.7219843,2458845.6405903,2459260.6405903,SN 2020bpf,SN Ib
198.133042,4.866531,2458848.024838,2459263.024838,SN 2020bmj,SN Ib
214.133875,57.808,2458814.9669097,2459229.9669097,SN 2019yxp,SN Ib
245.439145132,-2.28924613323,2458914.8531713,2459329.8531713,SN 2020hvp,SN Ib
304.38666345,0.007993,2458915.9209375,2459330.9209375,SN 2020hqz,SN Ib
200.002106212,-16.661127205,2458962.7712616,2459377.7712616,SN 2020kxg,SN Ib
10.8526805,50.67445985,2458972.9118171,2459387.9118171,SN 2020nac,SN Ib
326.143558977,-24.6028107914,2458999.8464468,2459414.8464468,SN 2020ltq,SN Ib
209.641409,37.4531996,2459133.0238079,2459548.0238079,SN 2020aaxs,SN Ib
156.923706123,72.8269334637,2459274.8487963,2459689.8487963,SN 2021hrj,SN Ib
262.147874275,21.739394175,2459297.8619676,2459712.8619676,SN 2021lvb,SN Ib
212.3385,72.117269,2459296.820162,2459711.820162,SN 2021lax,SN Ib
160.187017,45.16246455,2459295.7642708,2459710.7642708,SN 2021kxr,SN Ib
332.9107209,46.3078657,2459345.9228241,2459760.9228241,SN 2021rfs,SN Ib
103.895292,39.764931,2459400.9712037,2459815.9712037,SN 2021vnw,SN Ib
2.225908,23.816608,2459435.7731481,2459850.7731481,SN 2021zju,SN Ib
330.465625,-22.488739,2459517.5821875,2459932.5821875,SN 2021aghx,SN Ib
216.271576667,-13.166265,2459539.0511806,2459954.0511806,SN 2022bn,SN Ib
171.122083824,-6.05960317085,2459600.7215278,2460015.7215278,SN 2022ara,SN Ib
205.081233,-23.854331,2459672.7390046,2460087.7390046,SN 2022jkx,SN Ib
325.829228901,5.58084133698,2459738.8772685,2460153.8772685,SN 2022oxj,SN Ib
102.6087354,43.0467054,2459761.9806134,2460176.9806134,SN 2022rbo,SN Ib
295.8454006,41.9404076,2460162.7930556,2460577.7930556,SN 2023rti,SN Ib
256.043072869,6.77279947109,2460156.7060764,2460571.7060764,SN 2023qnh,SN Ib
239.45234863333337,64.00770836666666,2460181.6008681,2460596.6008681,SN 2023uvr,SN Ib
166.3557423,32.0180466,2460240.866169,2460655.866169,SN 2023ysu,SN Ib
197.7232133,8.7032956,2460241.0511921,2460656.0511921,SN 2023zms,SN Ib
15.98825,80.660989,2460262.7176736,2460677.7176736,SN 2023aaeg,SN Ib
3.0893591,31.063391825,2460485.8724074,2460900.8724074,SN 2024rbc,SN Ib
139.184167,19.932719,2460539.9578125,2460954.9578125,SN 2024vrr,SN Ib
169.477133,-2.090483,2460565.0171065,2460980.0171065,SN 2024zbl,SN Ib
150.7220016,8.4379423,2460573.9057523,2460988.9057523,SN 2024zzy,SN Ib
