ra,dec,jd_start,jd_end,obj_name
164.619302,37.576171,2459571.830625,2460301.830625,SN 2022adtr
54.893333,20.708444,2457247.8835185,2457977.8835185,SN 2016exv
354.300416471,40.7217752941,2458061.8636574,2458791.8636574,SN 2018hoa
357.492415,7.07326,2458065.7859028,2458795.7859028,SN 2018hhs
110.8109647,56.5251254,2458090.7865509,2458820.7865509,SN 2018jee
101.9792058,67.9167095,2458085.6888194,2458815.6888194,SN 2018iug
309.2302,2.8068,2458286.8756019,2459016.8756019,SN 2019gaf
244.625287517,18.475066159,2458361.7229282,2459091.7229282,SN 2019ofk
18.1578040613,33.0349355864,2458379.9162037,2459109.9162037,SN 2019pof
349.7354625,-10.1763972222,2458414.791875,2459144.791875,SN 2019sna
346.648958,0.612111,2458655.9155192,2459385.9155192,SN 2020jfv
86.5207556706,-23.5660262348,2458775.9046875,2459505.9046875,SN 2020tjd
297.4871203,59.5928266,2457986.897,2458716.897,SN 2018fzn
34.5461126,37.097234,2458798.708125,2459528.708125,SN 2020urc
46.481375,41.608711,2458854.5985417,2459584.5985417,SN 2020adnx
201.996417,24.381919,2458983.7465741,2459713.7465741,SN 2021kww
171.62222348,47.1284610812,2458988.6819213,2459718.6819213,SN 2021kum
126.861374,17.2871379,2458981.6946644,2459711.6946644,SN 2021lwd
52.262173700000005,9.2907062,2459066.9076273,2459796.9076273,SN 2021uth
47.7989579,-8.469532,2459173.7362037,2459903.7362037,SN 2021adlr
190.9224783,22.3589682,2459598.835081,2460328.835081,SN 2022acrz
162.2400642,-4.7543559,2459604.0195949,2460334.0195949,SN 2023wf
265.214042,66.206319,2459607.0180787,2460337.0180787,SN 2023aew
198.8414944,1.9275673,2459711.7605903,2460441.7605903,SN 2023gwl
268.580536,64.2256052,2459836.7686343,2460566.7686343,SN 2023psq
20.793617,19.570172,2460267.6537731,2460997.6537731,SN 2024zsw
