ra,dec,jd_start,jd_end,obj_name,type
130.72109,25.07088,2457660.5,2457860.5,SN 2016gkm,SN Ibc
142.84582,17.80831,2458197.7212269,2458397.7212269,SN 2018beh,SN Ibc
51.2315666667,-2.82210666667,2458382.8125579,2458582.8125579,SN 2018hjx,SN Ibc
336.9732988,19.4606782,2458393.6608565,2458593.6608565,SN 2018iqx,SN Ibc
303.6563225,-19.3504525,2458382.579537,2458582.579537,SN 2018hnw,SN Ibc
165.969208333,-3.33702333333,2458592.6861921,2458792.6861921,SN 2019fxo,SN Ibc
56.645141,25.1152047,2458644.9398495,2458844.9398495,SN 2019oyj,SN Ibc
178.754792,32.07535,2458179.6927778,2458379.6927778,SN 2018avy,SN Ibc
81.5008548,50.4219898,2458648.0084028,2458848.0084028,SN 2019mbz,SN Ibc
230.136,11.989681,2459177.0154282,2459377.0154282,SN 2020aers,SN Ibc
43.8287663,45.9709504,2459384.8727199,2459584.8727199,SN 2021ttw,SN Ibc
63.2993225,6.5580025,2459534.6981829,2459734.6981829,SN 2022S,SN Ibc
280.5821404,17.7068959,2459751.7911343,2459951.7911343,SN 2022qdg,SN Ibc
124.347958,21.694611,2460192.8635532,2460392.8635532,SN 2023usf,SN Ibc
